"","X","n_obs","m","C_obs","N_scr","N_scr_se","sigma_scr","sigma_scr_se","lambda0_scr","scr_ran","runtime_scr","N","N_se","sigma","sigma_se","lambda0","beta","r","runtime","ess_N","ess_sigma","N_better","sigma_better","N_true","beta_true","sigma_true","freq"
"53",3,82,27,22,46.0019751349971,6.51619885563318,0.0946376440037074,0.00816296649021572,0.116758061021851,1,0.0926903565724691,49.8088,7.64075879988468,0.100084995191464,0.0106785091000609,0.0875013921990556,8.00365411010946,0.25538790784228,9.66424263715744,1166.84707103057,401.693606379673,1,1,50,0.599999999999999,0.12,135
"54",4,83,30,23,56.438649968334,7.96792566108923,0.0814660019532538,0.00687063234078287,0.13540702956339,1,0.0873573064804077,59.4316,9.53721682892534,0.100360957325964,0.0124837308932419,0.0741689148540337,11.1198705001235,0.169935298440635,11.173531917731,986.557808342533,292.906671084254,0,1,50,0.8,0.12,135
"55",5,67,26,23,46.4814951700745,7.18656810899684,0.0975999724921305,0.00980366172850894,0.0924776943725227,1,0.105683906873067,50.3028,8.40886411819714,0.10453389217966,0.0121181308868992,0.0706130235474616,13.4372664857533,0.197381786485456,9.73919403553009,1117.69043439698,393.098109320202,1,1,50,1,0.12,135
"56",6,196,28,24,44.9081711490987,5.4886258033817,0.068370910275195,0.00297308146748646,0.568490376118274,1,0.208073544502258,52.7492,7.68673752208916,0.0830625207459544,0.00742825123245563,0.141053006403278,23.1344227301778,0.0757261749952544,17.4017257849375,897.219988667378,326.733147130612,1,1,50,0.2,0.12,270
"57",7,111,19,20,32.0494305267812,4.99876380310581,0.0626890578499677,0.00373646633895568,0.648093409941836,1,0.143963877360026,34.1608,5.6329419821395,0.0704732270413222,0.00622511208789671,0.301761710934868,58.2212158210173,0.102211493377687,10.5335001905759,1196.24367430527,413.355747426835,1,1,50,0.4,0.12,270
"58",8,139,27,24,35.3712673971696,3.78828226824333,0.107257021632504,0.00713916499093381,0.214655203960668,1,0.230745581785838,42.2996,5.86552654078389,0.113353833586476,0.0112981310309086,0.0980277101467456,25.1388754908512,0.0815957787499361,13.9071134050687,905.393704903323,333.991631835969,1,1,50,0.599999999999999,0.12,270
"59",9,158,32,24,46.2434485538477,4.9844690747561,0.0949049537162838,0.00540542077513434,0.218201078912015,1,0.234886689980825,47.6508,5.59397679567553,0.11332052941803,0.00873487425792364,0.112156794920775,18.5752281779568,0.120557231425736,15.9614925384521,1323.11568052937,374.501088956505,1,1,50,0.8,0.12,270
"60",10,166,35,25,51.8505278517045,5.49831201526514,0.0933785981174942,0.00530754290583085,0.207669168133737,1,0.220171634356181,53.9772,5.99458540531976,0.102614712107885,0.00757710711391471,0.134681268396911,11.8519505086213,0.183376357266606,16.5192381819089,1507.33580371379,411.690915509016,0,1,50,1,0.12,270
"61",1,72,26,22,39.1000722986247,5.61106319654484,0.122448552107854,0.0132692386301001,0.0799072900314515,1,0.0782135128974915,44.8168,8.11896574705921,0.147732599961671,0.0218262269804582,0.0400000704669584,37.7935462726804,0.0597819028336415,11.6138688882192,737.420932481837,285.654380170237,1,1,50,0.2,0.18,135
"62",2,72,29,23,46.5309028710158,6.56211144670303,0.118617652147749,0.0119356725252029,0.0722508724703381,1,0.107592145601908,47.2648,6.79549501221099,0.132854584230674,0.0160345558844542,0.0570562409673472,4.78837074387472,0.377509717848344,10.6840615669886,1185.50760118663,289.283386185104,1,1,50,0.4,0.18,135
"63",3,68,29,23,45.092533837585,6.83416636545436,0.142388755321808,0.0183326559572532,0.0487156354474206,1,0.0800153613090515,51.3064,9.42422651776703,0.151243968286957,0.0242688861240176,0.0359560715744232,4.52244669003284,0.214838208733107,9.20393240451813,649.989592537461,230.925182016021,1,1,50,0.599999999999999,0.18,135
"64",4,68,29,22,55.9763854212137,8.98040287138665,0.100886550457337,0.0111028780359594,0.069582438548121,1,0.0836477557818095,55.39,9.8832065195686,0.1170866706097,0.021389892543245,0.0573086962574415,4.41411446707572,0.508523476517552,9.40745028654734,586.023394654967,124.746114243308,1,1,50,0.8,0.18,135
"65",5,74,28,22,40.5523918550807,5.64740405478366,0.151381995981536,0.0182854743778585,0.0505326533184118,1,0.0876979072888692,39.8372,5.17847688120007,0.174232683359883,0.0279486315716448,0.0426366589783724,8.58014766763861,0.408906204445118,9.27042319774628,1048.3308349578,235.477504705617,0,1,50,1,0.18,135
