"","X","n_obs","m","C_obs","N_scr","N_scr_se","sigma_scr","sigma_scr_se","lambda0_scr","scr_ran","runtime_scr","N","N_se","sigma","sigma_se","lambda0","beta","r","runtime","ess_N","ess_sigma","N_better","sigma_better","N_true","mu0_true","sigma_true","lambda0_true","lambda0_better"
"160",8,66,30,24,45.6815272799066,6.80415115135045,0.152559782989792,0.0186895793869016,0.043375407316249,1,0.0787766774495443,47.6552,7.38054889292011,0.153616406585338,0.0206157453631144,0.043145652484429,6.59887572170122,0.77830868780666,8.79812678496043,692.38328430109,269.472527383322,1,0,50,0.00609538990887813,0.13208038166631,0.0556089881647431,0
"161",1,88,37,25,55.9567549063245,6.70861695949582,0.124678173265778,0.0108676471843796,0.074642298869264,1,0.103587460517883,55.3736,6.48577282516555,0.133144499342829,0.0125976538100398,0.0690830143414503,7.0812797532221,0.860083833523303,11.1062137087186,1119.16801785596,383.273520318753,1,1,50,0.0070274283667095,0.142321055559441,0.0552176915899928,1
"162",2,124,33,25,40.0942463971036,3.75859926299993,0.166932120915861,0.0161561699394046,0.0709246933094199,1,0.12403115828832,40.5516,3.77955704555233,0.169807952115595,0.0164133519541367,0.0691403870191284,7.4808887263567,0.80791103471617,11.4516231536865,1008.93507204752,348.731458853958,1,0,50,0.00922416977467947,0.145403575818054,0.0694380066990868,1
"163",3,143,41,25,54.8275618262698,5.29306210288127,0.134507832297231,0.0105557396181983,0.0902612641131793,1,0.126974928379059,54.7572,5.28755439239929,0.138494444954315,0.0112409030486078,0.0884724359055309,6.80571789024665,0.772448041358697,14.6589740276337,1017.34037813392,344.431833650715,1,1,50,0.00875388297135942,0.153683319878764,0.0589885065153656,1
"164",4,91,35,24,47.1938927922625,5.62635984832314,0.186311381435269,0.0232546902517627,0.0375002031178204,1,0.109402271111806,48.3812,5.71497602272977,0.18917801212274,0.0243647380697253,0.0369092167815135,5.88203983726372,0.85411468947909,10.4055654446284,829.008548051675,212.904659060834,1,0,50,0.00588496879674494,0.14756060834974,0.0430153461481095,0
"165",5,55,27,23,41.0588157309366,6.83207554356889,0.193571193177065,0.0325299764290637,0.0254198801386602,1,0.0711468617121379,43.5188,7.18709317341255,0.195626089707184,0.0372035640002191,0.0251920056033648,5.33244690795257,0.680978515338573,7.75361702839534,1117.28055821829,286.623835703186,1,0,50,0.0050366840173956,0.171006122762337,0.0274120500912695,0
"166",6,63,32,25,56.8429195463354,8.88958341196269,0.11731003174853,0.0128033564113649,0.0573271850002426,1,0.069291889667511,58.0056,9.15365961972443,0.120043869697905,0.013766772582829,0.057512919007907,7.13092324017542,0.826366048955803,9.87904958327611,873.952686237325,303.671534485533,0,1,50,0.00536388785694726,0.13547850579489,0.0465113585339969,0
"167",7,124,39,25,51.9666625720856,5.16295083661233,0.14466608812508,0.0123043531153854,0.0740560525210193,1,0.127526350816091,52.0592,5.09160732441716,0.149094941753467,0.0132704260395998,0.0722240437221831,7.31890813035731,0.800361139592478,13.1780171672503,880.32197461218,351.69807068128,0,0,50,0.00946337891160511,0.133068654849194,0.0850579335790423,0
"168",8,96,41,24,61.0028802934184,7.42695619346494,0.155180638351517,0.0163356090838431,0.0441789786588236,1,0.101191484928131,62.3284,7.57761978253247,0.15656359454099,0.0178339378861568,0.044415084798829,6.95889836330189,0.864417317789967,12.3914945244789,796.461290751363,192.946361578765,0,1,50,0.00961554840090685,0.166982508469373,0.0548848179660776,1
"169",1,108,36,25,47.5889384546972,4.8919292246178,0.143887037599027,0.0121302353856246,0.0773689135003147,1,0.152688093980153,48.5784,5.01847860322194,0.145367131921922,0.0127442615834583,0.0747337691624088,7.2534315539335,0.713947283435115,11.7115503549576,1333.3412846493,438.971635817205,1,1,50,0.00965796259581111,0.15438280262053,0.0644922916486065,1
