,n_obs,m,C_obs,N_scr,N_scr_se,sigma_scr,sigma_scr_se,lambda0_scr,scr_ran,runtime_scr,N,N_se,sigma,sigma_se,lambda0,beta,r,runtime,ess_N,ess_sigma,N_better,sigma_better,beta_true,sigma_true,mu0_true,r_true,N_true,lambda0_true,lambda0_better
924,382,39,25,56.2764001,5.222115136,0.077642846,0.002325507,0.567161339,1,0.306193336,50.082,5.40730724,0.151790335,0.023408478,0.084406584,0.768542592,0.211565311,28.04778751,200.2833507,68.40745405,1,1,0.8,0.12,0.01,0.25,50,0.110524266,1
925,349,40,25,54.37838221,4.741218245,0.083532745,0.003036081,0.559913686,1,0.243974157,53.4948,5.304755332,0.129032611,0.012318802,0.11166067,0.97323763,0.241085056,27.15396448,582.4326967,168.4285083,1,1,1,0.12,0.01,0.25,50,0.110524266,1
926,293,43,25,70.98476209,7.058884597,0.069425598,0.002311913,0.437458672,1,0.291424676,57.0472,5.026875765,0.146253139,0.023964554,0.082606498,0.152149377,0.330158983,24.71635909,321.6551524,71.7274322,1,1,0.2,0.18,0.01,0.25,50,0.049121896,1
927,194,37,23,51.70107903,5.031840384,0.09897622,0.005481952,0.215971564,1,0.252442551,48.7232,4.508693057,0.17803945,0.025889739,0.049505938,0.422818756,0.245293893,16.92622253,1069.190248,119.1421639,1,1,0.4,0.18,0.01,0.25,50,0.049121896,1
928,163,39,23,65.80535058,7.224563581,0.078551567,0.004136515,0.228779279,1,0.223419066,62.024,8.427611397,0.138415163,0.019303676,0.054602506,0.743543335,0.259276097,16.86762827,394.9299464,154.9752858,1,1,0.6,0.18,0.01,0.25,50,0.049121896,1
929,184,41,25,60.1195078,5.783176468,0.09789335,0.005057575,0.181236379,1,0.216355797,53.5432,4.854684433,0.167466023,0.021462453,0.059132154,0.726641379,0.279435322,18.22335601,960.3672853,158.757282,1,1,0.8,0.18,0.01,0.25,50,0.049121896,1
930,197,41,24,58.18511879,5.426286179,0.103437519,0.005500788,0.16994654,1,0.224887574,53.952,5.023603352,0.151345216,0.015807175,0.073412131,1.039236727,0.296613545,19.19128144,959.2029393,224.8627734,1,1,1,0.18,0.01,0.25,50,0.049121896,1
931,66,26,22,42.96845896,6.909574193,0.106028357,0.012341217,0.091182343,1,0.069894183,46.9912,7.694699859,0.165636516,0.058347562,0.035855597,0.14625634,0.447519026,9.410386276,1069.628782,52.28076975,1,0,0.2,0.12,0.005,0.5,50,0.055262133,1
932,75,34,25,73.29226537,11.08441663,0.081336929,0.008003273,0.09425994,1,0.124387952,69.5284,11.29677123,0.121778666,0.031413952,0.0489723,0.381441611,0.633091466,12.2262587,421.6652143,69.62240677,1,1,0.4,0.12,0.005,0.5,50,0.055262133,1
933,72,23,20,40.21337588,6.332521921,0.095287957,0.009229467,0.105652682,1,0.10599525,39.8052,6.160392287,0.111668716,0.014840648,0.079280255,1.249983722,0.507358327,9.002281781,1301.857903,276.6606617,0,1,0.6,0.12,0.005,0.5,50,0.055262133,1
934,51,25,20,56.11512859,10.28128891,0.075972795,0.008754212,0.102346204,1,0.063845364,58.9808,11.32376803,0.092955108,0.031014042,0.072936381,0.578502527,0.758252904,8.564168064,569.7827705,36.11061334,0,1,0.8,0.12,0.005,0.5,50,0.055262133,1
935,81,35,23,56.29443873,7.58653167,0.120596257,0.011979277,0.068599225,1,0.088315479,60.9608,8.678374792,0.129827378,0.016000405,0.051493841,1.023900807,0.459378132,11.56768048,1114.707018,318.174025,0,0,1,0.12,0.005,0.5,50,0.055262133,1
936,90,40,23,67.56571272,8.805202292,0.118127227,0.01140438,0.063707858,1,0.09487081,70.004,9.508614489,0.186237971,0.062893399,0.027167348,0.258239259,0.448536844,13.19234933,619.6759347,43.5942277,0,1,0.2,0.18,0.005,0.5,50,0.024560948,1
937,73,29,23,47.64327599,7.251865548,0.129191455,0.016003785,0.054175118,1,0.095031404,50.1508,7.489946534,0.144010435,0.028910044,0.043544002,0.36459803,0.807970523,9.896386051,651.351016,108.3097123,1,1,0.4,0.18,0.005,0.5,50,0.024560948,1
938,54,30,20,55.3668706,11.41013964,0.170960607,0.033099276,0.022251111,1,0.06009475,67.0204,14.44732065,0.250465684,0.070028891,0.010353802,0.019927376,0.805869054,10.16909673,369.8228565,105.7247572,0,0,0.6,0.18,0.005,0.5,50,0.024560948,0
939,38,20,18,33.52006298,6.993804578,0.154050286,0.024871958,0.033863433,1,0.046554033,39.644,8.74875307,0.165361512,0.041644158,0.027179007,0.782091068,0.582547216,7.183066233,870.9722643,174.8991005,1,1,0.8,0.18,0.005,0.5,50,0.024560948,1
