,n_obs,m,C_obs,N_scr,N_scr_se,sigma_scr,sigma_scr_se,lambda0_scr,scr_ran,runtime_scr,NLL_SCR,N,N_se,sigma,sigma_se,lambda0,beta,r,sescr_ran,runtime,runs,NLL_SESCR,N_better,sigma_better,mask_size,beta_true,sigma_true,mu0_true,r_true,N_true,lambda0_true,lambda0_better
331,68,28,24,62.49017002,9.873008047,0.062776257,0.00569756,0.173225485,1,0.094673375,321.9192522,60.17534405,9.368215027,0.069429776,0.006732593,0.142257944,0.205087553,0.999999648,1,0.774847313,20,312.2225552,1,1,4096,0.2,0.12,0.005,0.5,50,0.055262133,1
332,67,28,22,54.13919484,8.514714226,0.08526353,0.008644377,0.109393111,1,0.087113853,335.7194954,49.19931578,8.121385551,0.123937665,0.028137769,0.050012185,0.348468769,0.524586303,1,0.505768172,20,317.1270771,1,1,4096,0.4,0.12,0.005,0.5,50,0.055262133,1
333,71,29,22,56.63447525,8.774859714,0.091098269,0.009273718,0.088695562,1,0.118447065,362.8619522,48.99466758,8.093442273,0.146154725,0.032648547,0.03673758,0.575390292,0.365518327,1,0.520597911,20,330.5449429,1,1,4096,0.6,0.12,0.005,0.5,50,0.055262133,1
334,63,29,23,58.85335517,9.400498878,0.084781262,0.008578032,0.097816504,1,0.106966118,323.9386463,59.49990943,9.942562704,0.092698823,0.012392769,0.073823159,1.054349326,0.5333103,1,0.618381945,20,306.8273795,0,1,4096,0.8,0.12,0.005,0.5,50,0.055262133,1
335,62,28,20,46.63753786,7.36414278,0.119885124,0.014003535,0.063515191,1,0.10626357,333.5897249,46.35209941,7.197336935,0.153106723,0.038985039,0.034458767,0.361871092,0.622540367,1,0.454483243,20,320.9974278,0,0,4096,1,0.12,0.005,0.5,50,0.055262133,0
336,73,32,23,66.0408449,10.10783272,0.085356959,0.00854938,0.092140622,1,0.116918635,375.654402,60.73160288,9.926008653,0.122830591,0.039621287,0.04342875,0.102678024,0.710430672,1,0.623689059,20,363.6116686,1,1,4096,0.2,0.18,0.005,0.5,50,0.024560948,1
337,70,30,23,54.40398919,8.409940923,0.108722803,0.011988375,0.066412448,1,0.073448686,370.9119341,50.8328653,7.997206335,0.167832828,0.043495162,0.026798931,0.345073411,0.435512281,1,0.570335344,20,350.941204,1,1,4096,0.4,0.18,0.005,0.5,50,0.024560948,1
338,68,30,23,43.83659853,6.329381548,0.180906631,0.025693294,0.032348131,1,0.09085534,389.2157435,43.43717638,6.17680684,0.217209512,0.042445781,0.02185356,1.649077799,0.322421654,1,0.503709217,20,365.1551771,0,0,4096,0.6,0.18,0.005,0.5,50,0.024560948,1
339,53,26,22,49.90617586,9.294198797,0.116637605,0.016395827,0.048885676,1,0.100917363,292.4149293,48.90719406,8.910288677,0.145767206,0.045039372,0.029686044,0.431857469,0.580724674,1,0.419648778,20,285.1039508,0,1,4096,0.8,0.18,0.005,0.5,50,0.024560948,1
340,47,25,21,51.25328816,11.03842873,0.127746674,0.022812324,0.034598261,1,0.08134083,266.6945443,45.76161874,9.205570951,0.204505404,0.082049636,0.015479342,0.381901249,0.56567736,1,0.401022693,20,259.4454926,0,1,4096,1,0.18,0.005,0.5,50,0.024560948,1
341,148,33,21,56.11676303,6.71555816,0.07306517,0.004107365,0.294854737,1,0.177629022,579.8308457,46.29551077,5.467280665,0.119484492,0.021143916,0.104553024,0.221531684,0.48550059,1,1.252903159,20,511.1070583,1,1,4096,0.2,0.12,0.01,0.5,50,0.110524266,1
342,182,43,25,60.97459416,5.711861256,0.099558997,0.005617596,0.197071463,1,0.197799671,778.6117116,59.47031691,5.649098201,0.125525347,0.013251697,0.095346566,0.53794535,0.428594533,1,1.484107216,20,665.4955742,1,1,4096,0.4,0.12,0.01,0.5,50,0.110524266,1
343,144,35,22,57.55308432,6.692619555,0.079764195,0.005068055,0.241869944,1,0.198508843,590.0991743,50.26760875,5.660133879,0.107474557,0.011994179,0.135700126,0.732644475,0.519737786,1,1.316503469,20,542.0270648,1,1,4096,0.6,0.12,0.01,0.5,50,0.110524266,1
344,161,37,23,51.92858555,5.124782892,0.102224575,0.00598134,0.186523624,1,0.235389924,693.790831,51.36885614,5.127048632,0.116496757,0.010321247,0.118301489,0.819662692,0.465437981,1,1.381422412,20,622.7247993,1,1,4096,0.8,0.12,0.01,0.5,50,0.110524266,1
345,129,33,24,44.21189117,4.584445603,0.119906065,0.008982873,0.128872618,1,0.161256842,600.2052452,45.04404514,4.737339478,0.122597609,0.010248886,0.10657038,1.788740402,0.470420301,1,1.085764484,20,559.7928133,1,0,4096,1,0.12,0.01,0.5,50,0.110524266,1
346,158,41,25,60.20331921,6.041952742,0.105346362,0.006636927,0.138590191,1,0.205580052,724.885818,53.44872404,4.99405522,0.172980259,0.046272029,0.048227718,0.019818156,0.563980024,1,1.365522591,20,665.8112547,1,1,4096,0.2,0.18,0.01,0.5,50,0.049121896,1
347,181,39,25,47.800278,4.005061891,0.13730175,0.010207386,0.122227042,1,0.22744594,835.277863,47.38143541,3.978947072,0.161074487,0.02947809,0.074905795,0.21399533,0.640849791,1,1.617622602,20,749.1368198,0,1,4096,0.4,0.18,0.01,0.5,50,0.049121896,1
348,146,40,25,52.96338419,5.087782309,0.142473866,0.012049173,0.079108495,1,0.192590932,732.7403868,51.02147358,4.425707894,0.191393814,0.025536014,0.040468067,0.523138986,0.422894942,1,1.183713162,20,675.2933534,1,1,4096,0.6,0.18,0.01,0.5,50,0.049121896,1
349,149,42,25,55.20009232,5.272110596,0.152694951,0.014084513,0.066941007,1,0.187738808,766.0490791,51.21144234,4.05030679,0.206838303,0.028401071,0.039306469,0.722431414,0.452408089,1,1.126588841,20,702.653605,1,1,4096,0.8,0.18,0.01,0.5,50,0.049121896,1
350,119,41,25,53.98539427,5.466461544,0.171679628,0.017462335,0.049043893,1,0.101137225,645.085461,52.99528535,4.903592924,0.213566997,0.029405336,0.030421054,1.090575209,0.378025467,1,0.937844205,20,605.3667952,1,0,4096,1,0.18,0.01,0.5,50,0.049121896,0
351,186,30,22,61.41510144,8.275474826,0.046026084,0.001867663,0.815493572,1,0.143961263,491.4257889,42.31224849,7.110541004,0.156310801,0.053647395,0.048602078,0.18504086,0.226598955,1,1.215669572,20,390.7945407,1,1,4096,0.2,0.12,0.005,0.25,50,0.055262133,1
352,138,29,22,56.96791411,7.707816138,0.054555342,0.002526205,0.472054209,1,0.110480177,471.4895243,50.88013786,10.7427217,0.128711374,0.033126046,0.045770473,0.366839358,0.239365291,1,0.854199958,20,373.2414966,1,1,4096,0.4,0.12,0.005,0.25,50,0.055262133,1
353,121,27,19,55.49214995,8.001892598,0.049051334,0.002847468,0.574966714,1,0.115331479,400.4770371,56.65974951,10.56546856,0.079712499,0.013130439,0.103865242,0.611613226,0.32490889,1,0.71979787,20,336.1736962,0,1,4096,0.6,0.12,0.005,0.25,50,0.055262133,1
354,94,26,21,45.60570092,6.426313044,0.075646678,0.005417795,0.223082914,1,0.141668471,403.2364194,45.54382717,8.79040743,0.122452354,0.021445555,0.051804363,0.748103781,0.251231366,1,0.556184693,20,323.0643215,0,1,4096,0.8,0.12,0.005,0.25,50,0.055262133,1
355,97,28,22,56.25668635,8.004393236,0.062663419,0.004078117,0.248300242,1,0.106636167,412.6761672,57.91786285,11.03874717,0.100612432,0.016466733,0.058958837,1.091546688,0.25826152,1,0.622571782,20,347.5857154,0,1,4096,1,0.12,0.005,0.25,50,0.055262133,1
356,98,33,18,63.51200144,8.407746146,0.073577484,0.005145848,0.172314258,1,0.108170044,450.7832645,54.60972662,7.559444184,0.235559954,0.118329314,0.014330564,0.175910659,0.196625605,1,0.602991037,20,368.1808302,1,1,4096,0.2,0.18,0.005,0.25,50,0.024560948,1
357,72,30,19,70.58973811,10.88752783,0.051851725,0.004357079,0.254031234,1,0.0927423,319.5420712,63.35316966,10.99918773,0.096128729,0.02066117,0.063304111,0.205581883,0.476842733,1,0.546781071,20,303.3419045,1,1,4096,0.4,0.18,0.005,0.25,50,0.024560948,1
