,X,n_obs,m,C_obs,N_scr,N_scr_se,sigma_scr,sigma_scr_se,lambda0_scr,scr_ran,runtime_scr,NLL_SCR,N,N_se,sigma,sigma_se,lambda0,beta,r,sescr_ran,runtime,runs,NLL_SESCR,N_better,sigma_better,mask_size,N_true,beta_true,sigma_true,freq
621,1,83,27,21,40.68138769,5.492018012,0.115181663,0.010957029,0.095031715,1,0.075357,412.4474223,43.86173063,7.110364648,0.131595762,0.016913121,0.051682067,25.72262722,0.078852389,1,0.556158352,20,316.764068,1,1,4096,50,0.2,0.18,135
622,2,63,25,24,43.79177901,6.936686755,0.09148899,0.009261971,0.118728972,1,0.071131392,311.8556772,48.51097862,8.821289083,0.098199816,0.01226867,0.071973887,16.70764159,0.1372377,1,0.358093874,20,270.9493919,1,1,4096,50,0.4,0.18,135
623,3,96,34,24,46.31983572,5.369308239,0.157398384,0.016981893,0.054842518,1,0.094676141,515.4593783,46.09487635,5.603373377,0.176518401,0.022322569,0.040594973,5.855467593,0.204143566,1,0.521512918,20,466.3526839,0,1,4096,50,0.6,0.18,135
624,4,79,36,22,55.37323336,7.443286101,0.15768725,0.017935585,0.039089116,1,0.072299381,445.3024467,54.59508483,7.090291458,0.20212519,0.042055421,0.022909428,0.698044401,0.498229417,1,0.483987693,20,422.7872774,1,1,4096,50,0.8,0.18,135
625,5,86,28,24,35.90776282,4.366970459,0.170129291,0.020962211,0.054818682,1,0.076980646,458.1560861,35.64015334,4.384530427,0.186595553,0.024455841,0.042672372,33.60192505,0.098359788,1,0.500132215,20,403.829229,0,1,4096,50,1,0.18,135
626,6,119,25,21,33.10941162,3.813878528,0.112454328,0.008629673,0.169870053,1,0.152585808,517.2005204,34.50174628,4.900852536,0.151469213,0.019314447,0.055656441,5.784530464,0.114350833,1,0.604146743,20,341.3959867,1,1,4096,50,0.2,0.18,270
627,7,186,35,25,44.65385649,3.992954878,0.124902644,0.008002639,0.138937297,1,0.204600962,823.3750513,45.50274579,4.622283993,0.1406576,0.013064162,0.084337438,32.12246876,0.085953042,1,1.151053969,20,598.9595933,1,1,4096,50,0.4,0.18,270
628,8,128,31,22,38.52132837,3.70039512,0.132512783,0.010442855,0.128667134,1,0.15381461,597.2750971,39.23076802,4.065620367,0.146031138,0.013585472,0.083268993,16.84737994,0.136601671,1,0.716934677,20,494.307603,1,1,4096,50,0.6,0.18,270
629,9,155,41,25,56.59799469,5.443052433,0.126841415,0.009029657,0.095860443,1,0.188731647,754.0640208,50.08461958,4.173790376,0.163032749,0.017125346,0.070984384,2.651542673,0.371965523,1,0.909189494,20,684.5197276,1,1,4096,50,0.8,0.18,270
630,10,170,37,25,41.14397442,2.685262734,0.190023875,0.016013744,0.07729903,1,0.207058795,848.9580898,40.37958658,2.664566866,0.211921361,0.02158264,0.060081743,14.98886758,0.152418153,1,1.112192988,20,730.6118048,0,0,4096,50,1,0.18,270
631,1,101,26,19,50.54756455,7.311141849,0.059026328,0.003679497,0.358722966,1,0.093545278,386.3608018,61.44892028,11.74624786,0.081874589,0.010418495,0.074479498,22.64809563,0.06559871,1,0.621772242,20,198.7970015,0,1,4096,50,0.2,0.12,135
632,2,72,27,21,44.95299258,6.597677226,0.098663134,0.009598382,0.110505575,1,0.062088815,355.0279651,54.12323527,9.8920763,0.09866909,0.012905926,0.066177519,17.46056016,0.108617401,1,0.39716839,20,277.8906629,1,1,4096,50,0.4,0.12,135
633,3,102,29,24,43.84494974,5.421704654,0.106646035,0.008428001,0.119416019,1,0.092210229,484.7563893,46.16110708,6.380256049,0.113074749,0.01174164,0.08192447,3.747698113,0.273206512,1,0.605523511,20,426.1161613,1,1,4096,50,0.6,0.12,135
634,4,83,28,22,44.29690456,5.977706724,0.104671159,0.009293153,0.108540154,1,0.079147915,406.8521786,45.11917836,6.773656742,0.120703694,0.013803046,0.066083003,12.980952,0.144826804,1,0.525172579,20,351.5720549,1,1,4096,50,0.8,0.12,135
635,5,87,30,22,51.06780138,6.987994964,0.094052147,0.008072329,0.119356685,1,0.087079151,423.7120884,53.33092177,7.938998646,0.09788102,0.010506451,0.090790443,3.845706488,0.331425835,1,0.651147103,20,388.5605644,0,1,4096,50,1,0.12,135
636,6,147,22,18,38.20889832,5.625866478,0.056667491,0.003158342,0.93835619,1,0.116664346,397.3032005,42.87555302,7.116140426,0.064700136,0.006523062,0.240140856,38.24909161,0.081937848,1,0.824714343,20,105.7054841,1,1,4096,50,0.2,0.12,270
637,7,116,23,21,31.87463733,4.041304973,0.088693152,0.00631435,0.365045978,1,0.125339544,432.1215028,38.65831875,6.212043533,0.089792863,0.00976089,0.13810694,30.84344368,0.081715675,1,0.719908233,20,214.9876802,1,1,4096,50,0.4,0.12,270
638,8,172,33,25,48.71078553,5.218712843,0.087574114,0.004546603,0.275416872,1,0.193447789,669.7988882,51.65532369,6.209056068,0.099777154,0.0076736,0.126765798,31.73613833,0.087277692,1,1.070431042,20,414.1215493,0,1,4096,50,0.6,0.12,270
639,9,150,34,25,50.22815057,5.421924174,0.09182679,0.005375874,0.224881495,1,0.193826242,624.1614703,50.66608335,5.739187826,0.103611881,0.007693224,0.133536481,19.92825851,0.150878043,1,1.034553099,20,519.3321067,0,1,4096,50,0.8,0.12,270
640,10,160,31,24,39.23080743,3.688525871,0.114710483,0.007081913,0.196837147,1,0.245042952,672.2848602,39.47332716,3.884966051,0.126380006,0.009440031,0.127215083,21.9659726,0.142703964,1,1.031142843,20,545.5411193,1,0,4096,50,1,0.12,270
641,1,53,21,18,37.01393972,6.541493404,0.105956202,0.013123779,0.076433991,1,0.079545116,275.5310622,38.04360311,8.067519549,0.130458998,0.022536323,0.041046374,6.130289515,0.157006745,1,0.394232881,20,238.8567217,1,1,4096,50,0.2,0.18,135
642,2,101,31,23,43.12165384,5.110245589,0.135779146,0.01337361,0.076420289,1,0.124229976,514.5109865,42.14160959,5.494942533,0.163930931,0.021741857,0.048037649,5.719385607,0.185132529,1,0.702020442,20,452.0092808,0,1,4096,50,0.4,0.18,135
643,3,72,34,23,50.7002483,7.035357502,0.171515093,0.021197988,0.034703998,1,0.113227312,413.6951279,51.91350417,7.793586561,0.199403547,0.030681368,0.023184338,8.561239395,0.144599379,1,0.455456706,20,378.1118377,0,0,4096,50,0.6,0.18,135
644,4,88,33,24,45.14658634,5.380093717,0.160638694,0.017286772,0.051393091,1,0.103686762,480.9888002,44.95553021,5.505810963,0.170091779,0.019912357,0.043712177,11.04472399,0.208027562,1,0.63642842,20,446.7764867,0,1,4096,50,0.8,0.18,135
645,5,67,32,23,52.82101242,8.198407871,0.152463971,0.020289037,0.035861372,1,0.093277351,381.252839,52.56083153,8.180052792,0.15581028,0.021495813,0.033774486,12.21020576,0.285832276,1,0.535975762,20,368.6232403,1,1,4096,50,1,0.18,135
646,6,204,29,24,35.90299318,3.267991586,0.114813045,0.006238992,0.220596961,1,0.262471608,801.4354465,37.53250841,3.983165268,0.129409131,0.010965355,0.109631691,37.89424483,0.074622525,1,1.725926705,20,475.0411696,1,1,4096,50,0.2,0.18,270
647,7,138,34,25,46.9410034,5.062447971,0.113320893,0.008989405,0.137890301,1,0.190175724,627.9313688,48.14003757,5.799789852,0.13439137,0.013817508,0.071791746,14.21505813,0.11499348,1,1.09566675,20,491.1675812,1,1,4096,50,0.4,0.18,270
648,8,144,38,25,52.73867289,5.289803115,0.112163394,0.007740673,0.139816927,1,0.176443442,666.2530534,53.37796624,5.711077214,0.124202881,0.010305879,0.092893342,17.87482834,0.143940173,1,0.989054147,20,563.8465911,0,1,4096,50,0.6,0.18,270
649,9,135,36,25,44.99250954,4.107353482,0.143906256,0.011542028,0.096493589,1,0.172845622,661.3162687,46.12305711,4.596124473,0.153433728,0.014141937,0.069611707,41.86839793,0.097476982,1,1.083466518,20,565.7764161,1,1,4096,50,0.8,0.18,270
650,10,143,37,24,45.03582804,3.961342582,0.146695868,0.012028926,0.102417136,1,0.158950384,696.3157128,45.0215709,4.091137074,0.160110712,0.014268934,0.075506648,106.6103843,0.064033298,1,1.198187606,20,570.4928001,0,1,4096,50,1,0.18,270
651,1,83,21,19,39.2308011,6.247304918,0.059024306,0.004469198,0.448486211,1,0.100638545,305.0841793,43.74705937,8.161108707,0.072026151,0.00877869,0.138811579,11.61696795,0.138754513,1,0.657096406,20,214.6420115,1,1,4096,50,0.2,0.12,135
652,2,72,21,18,43.84447069,7.368635712,0.056248181,0.004585444,0.306388319,1,0.070243216,293.5522544,48.03759121,9.517732752,0.072981453,0.009891668,0.106005787,13.50492087,0.127191327,1,0.504455443,20,222.0701466,1,1,4096,50,0.4,0.12,135
653,3,102,32,23,55.57598497,7.134555885,0.088169173,0.006458652,0.136974363,1,0.109347888,480.7913204,58.03859978,8.000222343,0.094656656,0.008278441,0.094677977,34.0885605,0.11365776,1,0.69393607,20,408.7620765,0,1,4096,50,0.6,0.12,135
654,4,76,32,22,61.64126998,8.958560319,0.082649501,0.007736066,0.120894421,1,0.062992378,375.8137321,62.88808833,9.842084398,0.090177162,0.009719738,0.087972853,10.29996298,0.243069577,1,0.528730786,20,351.3112211,0,1,4096,50,0.8,0.12,135
655,5,112,33,25,44.83624326,4.761341752,0.119374297,0.009083962,0.123491446,1,0.119174246,535.1302613,47.4372482,5.664758529,0.122703113,0.011226383,0.088710444,7.951454862,0.215587591,1,0.703359457,20,464.0903461,1,0,4096,50,1,0.12,135
656,6,150,21,20,38.72283677,5.988932145,0.051937994,0.002770682,0.972227023,1,0.136505171,391.8723413,40.72867528,6.620278508,0.059978683,0.004846976,0.320907839,69.54904239,0.07701955,1,1.073089163,20,101.4280329,1,1,4096,50,0.2,0.12,270
657,7,197,33,24,51.1126143,5.632919654,0.07775312,0.003519254,0.366120261,1,0.210945145,709.234713,57.14548963,7.273646193,0.089906806,0.007207333,0.126369195,19.36523041,0.095396342,1,1.657480284,20,386.3174846,0,1,4096,50,0.4,0.12,270
658,8,181,36,23,51.99055773,5.293599324,0.09138229,0.004998275,0.255883946,1,0.180560637,713.1803292,54.55323052,6.281848216,0.107118434,0.008580182,0.113114395,28.2517935,0.087236288,1,1.298623828,20,454.2199314,0,1,4096,50,0.6,0.12,270
659,9,168,34,24,49.49179672,5.221324048,0.089864262,0.004996061,0.264250477,1,0.204715117,662.9492874,49.90333947,5.603221113,0.103706665,0.007888151,0.14091671,16.44658817,0.149980374,1,1.012169647,20,520.3254298,1,1,4096,50,0.8,0.12,270
660,10,164,38,24,56.06485673,5.6940117,0.094995223,0.005277824,0.197820277,1,0.195705843,704.4873583,57.40577366,6.219796251,0.10345677,0.007221589,0.128181287,28.14677992,0.119199732,1,0.927149796,20,542.3412129,0,1,4096,50,1,0.12,270
661,1,91,30,23,58.21368924,8.086789465,0.070039159,0.005163937,0.196067836,1,0.105205925,407.2783228,64.590274,11.86726032,0.105268153,0.014082806,0.048791923,11.0922453,0.091303987,1,0.60854274,20,302.1864703,0,1,4096,50,0.2,0.18,135
662,2,56,23,22,38.10868512,6.431161125,0.117767587,0.014666618,0.067523145,1,0.08882856,296.7958541,38.27502079,6.799149416,0.126271652,0.017685244,0.053865891,11.03284627,0.216674651,1,0.518219479,20,279.3197899,1,1,4096,50,0.4,0.18,135
663,3,69,31,21,46.91597611,6.776993689,0.150080769,0.017506694,0.045856984,1,0.065717459,383.9895187,49.89692278,8.130887634,0.165367977,0.022760649,0.030839598,18.37515417,0.104039203,1,0.499181012,20,340.9181566,1,1,4096,50,0.6,0.18,135
664,4,77,30,23,49.54525464,6.881612683,0.109204731,0.010299945,0.083927436,1,0.089461299,397.3948263,47.38319554,6.473555408,0.117477368,0.012608371,0.075298682,3.727046231,0.561999792,1,0.739159536,20,383.426697,0,1,4096,50,0.8,0.18,135
665,5,83,36,24,59.97096634,8.469024643,0.134060674,0.01534888,0.047735874,1,0.116029167,456.1741442,59.2535848,7.820197462,0.142552499,0.015786958,0.041469169,0.283354164,0.999999983,1,0.900682763,20,441.8615662,1,1,4096,50,1,0.18,135
