,X,n_obs,m,C_obs,N_scr,N_scr_se,sigma_scr,sigma_scr_se,lambda0_scr,scr_ran,runtime_scr,NLL_SCR,N,N_se,sigma,sigma_se,lambda0,beta,r,sescr_ran,runtime,runs,NLL_SESCR,N_better,sigma_better,mask_size,beta_true,sigma_true,mu0_true,r_true,N_true,lambda0_true,lambda0_better
345,5,173,23,25,42.05779678,6.55329669,0.096417022,0.006139436,0.184571755,1,0.27337565,678.0353098,36.08350129,5.521699069,0.123291929,0.014659895,0.110069674,0.892681808,0.5067155,1,1.127933343,20,605.8115764,0,1,4096,1,0.12,0.01,0.5,50,0.104701001,1
346,6,277,40,25,67.85848151,7.71188354,0.106928269,0.005551828,0.157140268,1,0.345962147,1134.840295,52.65863219,5.737423367,0.168312938,0.028641566,0.066883552,0.333842348,0.536825555,1,2.146938773,20,1045.888045,1,1,4096,0.2,0.18,0.01,0.5,50,0.056180439,1
347,7,189,34,25,68.84339503,9.309723037,0.094946979,0.005639748,0.132554047,1,0.283235296,820.4187709,42.72451563,4.032127711,0.243974484,0.054666233,0.026417295,0.427735625,0.351241589,1,1.243338803,20,764.3487318,1,1,4096,0.4,0.18,0.01,0.5,50,0.026738148,1
348,8,216,41,25,62.38274878,7.505121888,0.132296295,0.010644658,0.098091022,1,0.270838785,986.7884166,55.75962651,5.740221205,0.178259807,0.023401607,0.049188394,0.578975284,0.472977879,1,1.56979028,20,892.1990179,1,1,4096,0.6,0.18,0.01,0.5,50,0.050085644,1
349,9,181,35,25,43.37576458,5.296165482,0.177704093,0.02328338,0.074041263,1,0.186875415,873.4255729,41.37937081,3.52676672,0.247706994,0.057838437,0.031498682,0.682505473,0.420986096,1,1.203900969,20,777.3384996,0,0,4096,0.8,0.18,0.01,0.5,50,0.025938425,1
350,10,162,37,25,50.31787037,6.080378157,0.159935848,0.016021588,0.073336531,1,0.162397782,798.9166897,52.04442842,5.948288761,0.17111046,0.022034824,0.049993284,0.722710586,0.606221071,1,1.088196186,20,749.3262461,0,1,4096,1,0.18,0.01,0.5,50,0.054358443,1
351,1,245,28,25,95.21105279,15.83940311,0.03942465,0.001927955,0.780244159,1,0.214259982,623.9721102,59.70455424,12.62709594,0.111991304,0.032058808,0.060910261,0.168973377,0.260419244,1,2.196405462,20,509.0742396,1,1,4096,0.2,0.12,0.005,0.25,50,0.063448525,1
352,2,118,18,19,47.96099682,9.48820432,0.055084952,0.003587732,0.520065647,1,0.157136408,378.2512117,39.30335079,9.448157768,0.114584104,0.033217021,0.05261174,0.393519735,0.251289127,1,0.965068849,20,298.3958666,0,1,4096,0.4,0.12,0.005,0.25,50,0.060609597,1
353,3,163,26,22,59.44235882,9.379368148,0.071208076,0.004077978,0.308378133,1,0.18226349,592.4792968,54.69880221,9.646718202,0.108884395,0.016839631,0.069366724,0.565951996,0.301622087,1,1.292479829,20,474.782031,1,1,4096,0.6,0.12,0.005,0.25,50,0.067121067,1
354,4,146,22,21,52.39320657,9.101925538,0.069817152,0.004333248,0.278481425,1,0.184141962,534.0111099,36.92828254,6.58268132,0.168411195,0.038723804,0.031518412,0.811213296,0.178696194,1,1.022182512,20,401.1912714,0,1,4096,0.8,0.12,0.005,0.25,50,0.028057451,1
355,5,103,22,23,34.43664755,5.500750044,0.109949069,0.009377774,0.202778054,1,0.132972054,445.5998385,41.69668357,7.568963488,0.130873554,0.018148761,0.049552817,1.448206173,0.221105373,1,0.737134099,20,360.3250263,1,0,4096,1,0.12,0.005,0.25,50,0.046460764,1
356,6,146,30,23,68.58146247,10.29685374,0.076276524,0.004632328,0.221114571,1,0.19486117,585.3752486,54.93717425,8.787276877,0.167848214,0.038798163,0.026325231,0.221831176,0.268845178,1,1.007822784,20,506.5942984,1,1,4096,0.2,0.18,0.005,0.25,50,0.028245983,1
357,7,122,31,22,80.26947743,12.47439328,0.072613444,0.004984417,0.164614134,1,0.168210042,532.5691651,53.86834213,8.222233531,0.209035163,0.056685126,0.017206339,0.438936748,0.209356004,1,0.773243097,20,464.5545235,1,1,4096,0.4,0.18,0.005,0.25,50,0.01821174,1
358,8,118,32,24,84.67923318,12.98406921,0.075238292,0.005323946,0.133045137,1,0.17279044,542.4067545,64.20066616,11.36570812,0.145460057,0.027737643,0.031897423,0.636711302,0.296347599,1,0.747923569,20,489.0733407,1,1,4096,0.6,0.18,0.005,0.25,50,0.037609939,1
359,9,80,24,25,55.11960274,10.05967284,0.098341126,0.009587651,0.078904613,1,0.114531378,400.5117253,36.82648715,5.949195942,0.249260896,0.071962733,0.015147175,0.974231253,0.206865656,1,0.483776339,20,349.8433969,0,1,4096,0.8,0.18,0.005,0.25,50,0.012808015,1
360,10,117,29,25,50.80369074,8.177169094,0.114859713,0.011215646,0.104768757,1,0.164350597,551.3086056,42.91249507,6.108001873,0.192857053,0.035644829,0.030083092,1.216055087,0.251593478,1,0.71815476,20,469.578616,0,1,4096,1,0.18,0.005,0.25,50,0.021395335,1
