,X,n_obs,m,C_obs,N_scr,N_scr_se,sigma_scr,sigma_scr_se,lambda0_scr,scr_ran,runtime_scr,NLL_SCR,N,N_se,sigma,sigma_se,lambda0,beta,r,sescr_ran,runtime,runs,NLL_SESCR,N_better,sigma_better,mask_size,beta_true,sigma_true,mu0_true,r_true,N_true,lambda0_true,lambda0_better
500,10,89,27,24,67.65769348,13.3149886,0.09958289,0.010760178,0.082221773,1,0.087376066,441.0720978,61.43979298,12.66263549,0.116804705,0.018406264,0.058340996,1.24619556,0.661096199,1,0.648658141,20,428.5045273,1,1,4096,1,0.18,0.005,0.5,50,0.058326976,1
501,1,329,32,24,73.40348196,10.25833758,0.078052326,0.003297327,0.269425719,1,0.486658394,1148.344337,49.91732548,9.161348924,0.140326398,0.033715437,0.082511494,0.267926696,0.40502592,1,3.081938672,20,921.1320611,1,1,4096,0.2,0.12,0.01,0.5,50,0.080824193,1
502,2,263,31,25,61.63828921,8.576705567,0.091929331,0.004728712,0.22661217,1,0.337865372,964.3882896,51.5980234,8.407680893,0.124682272,0.020960578,0.107071385,0.352812249,0.524300745,1,2.0597024,20,836.3926627,1,1,4096,0.4,0.12,0.01,0.5,50,0.10237896,1
503,3,296,31,25,53.53504068,7.038604873,0.107967792,0.005904555,0.187127191,1,0.441337125,1127.359695,45.05403655,6.134150972,0.152618947,0.022756623,0.075781573,0.48097865,0.377692284,1,1.973758757,20,885.1095418,0,0,4096,0.6,0.12,0.01,0.5,50,0.068328711,1
504,4,272,30,25,66.61486079,9.775351212,0.08252126,0.004390572,0.237137148,1,0.366322414,962.8701732,48.69042454,7.661450741,0.134346433,0.021762546,0.085557338,0.465739225,0.437529829,1,1.780752277,20,831.1050084,1,1,4096,0.8,0.12,0.01,0.5,50,0.088179545,1
505,5,185,27,25,56.80601883,8.769872051,0.093527099,0.005717458,0.164469182,1,0.289587096,745.8200489,41.29238817,6.251969128,0.14696426,0.021289256,0.073054451,0.861149144,0.425984012,1,1.17529821,20,656.1272349,0,0,4096,1,0.12,0.01,0.5,50,0.073687982,1
506,6,281,42,25,69.76936631,8.676361287,0.122791437,0.008672181,0.119619294,1,0.369562058,1204.642488,54.15275251,5.569714023,0.230792424,0.063253501,0.029009856,0.087385001,0.421476431,1,2.200861108,20,1080.141491,1,1,4096,0.2,0.18,0.01,0.5,50,0.029879755,1
507,7,202,34,25,62.21713348,8.867742061,0.113481512,0.008578534,0.117823436,1,0.286232293,883.1819626,52.45938679,7.310490814,0.14767152,0.020893697,0.070178455,0.423012928,0.59766884,1,1.380882355,20,816.4435246,1,1,4096,0.4,0.18,0.01,0.5,50,0.072983829,1
508,8,214,35,25,62.83732905,8.719242238,0.119108014,0.008978909,0.102557588,1,0.320232908,964.8081983,44.32985321,4.953860587,0.207885672,0.041414615,0.041593069,0.632638599,0.465538019,1,1.402636778,20,884.4945523,1,1,4096,0.6,0.18,0.01,0.5,50,0.036827396,1
509,9,197,41,25,68.70071224,9.436565638,0.128695288,0.010858975,0.094636322,1,0.297187221,910.9551327,54.54323736,5.816535799,0.204951001,0.035198022,0.036881777,0.62315169,0.434777105,1,1.320106224,20,837.6666795,1,1,4096,0.8,0.18,0.01,0.5,50,0.037889602,1
510,10,169,31,24,57.18883148,8.892637757,0.118119164,0.010166607,0.09661327,1,0.231041276,776.7879277,39.52002998,4.6832256,0.229465716,0.056692808,0.030237624,0.728878962,0.392154667,1,1.015129379,20,717.6086683,0,1,4096,1,0.18,0.01,0.5,50,0.030226267,1
511,1,156,22,23,64.87107916,11.83428252,0.043671896,0.002256482,0.890605571,1,0.13299162,409.5157806,37.47309476,8.545929634,0.183032873,0.104336755,0.024219309,0.322507127,0.154025898,1,1.340746013,20,333.9100548,1,1,4096,0.2,0.12,0.005,0.25,50,0.023753737,1
512,2,177,25,25,56.60761336,8.868094278,0.065734468,0.003085378,0.428645358,1,0.163753104,597.7503757,49.95093315,8.720180748,0.12841182,0.022191651,0.045463659,0.266853143,0.244987186,1,1.027695191,20,461.3513563,1,1,4096,0.4,0.12,0.005,0.25,50,0.048259201,1
513,3,166,26,23,57.75960705,8.851936292,0.069867026,0.003430098,0.344958463,1,0.169661438,601.3475554,48.00553274,8.228439757,0.133486887,0.023566499,0.049164254,0.721369526,0.232100842,1,0.93087726,20,467.9975519,1,1,4096,0.6,0.12,0.005,0.25,50,0.044659404,1
514,4,121,28,22,76.49848289,12.3260477,0.055891864,0.003365893,0.36545714,1,0.126549709,452.7745763,59.56384866,10.83854928,0.12534546,0.023614895,0.042290621,0.536788851,0.235306871,1,0.688021127,20,363.9921681,1,1,4096,0.8,0.12,0.005,0.25,50,0.050649238,1
515,5,137,29,22,52.68343683,7.602534682,0.09384872,0.006886801,0.208046274,1,0.153021467,570.8591084,56.38952585,9.53093939,0.144962373,0.020711052,0.034091522,1.256680625,0.161672689,1,0.878144741,20,412.8650453,0,1,4096,1,0.12,0.005,0.25,50,0.037868627,1
516,6,210,38,25,99.18180241,13.47341061,0.060525005,0.003020228,0.313374962,1,0.244655347,758.9711311,69.76454368,11.43260936,0.137011024,0.033705581,0.046394838,0.147030906,0.345191821,1,1.33838981,20,675.8992246,1,1,4096,0.2,0.18,0.005,0.25,50,0.042391532,1
517,7,134,30,24,66.63359801,9.771355973,0.078520302,0.004778422,0.199247938,1,0.131003157,567.4662215,53.86754533,8.67193739,0.165040434,0.036132137,0.028487954,0.387899606,0.269351472,1,0.7827799,20,491.4514258,1,1,4096,0.4,0.18,0.005,0.25,50,0.029215237,1
518,8,179,38,25,71.16778668,9.005354745,0.102929151,0.006655981,0.122618193,1,0.216386946,809.4995778,56.27702593,6.498625568,0.216615981,0.038965673,0.022293466,0.672974211,0.213917965,1,0.994142763,20,671.9720765,1,1,4096,0.6,0.18,0.005,0.25,50,0.016959348,1
519,9,66,25,20,64.91786585,13.12733214,0.086448947,0.010112149,0.083055237,1,0.084799536,329.2369951,50.72011021,17.14026424,0.432876475,0.221147748,0.004406695,0.683911685,0.122653414,1,0.408856018,20,297.7289556,1,0,4096,0.8,0.18,0.005,0.25,50,0.004246804,1
520,10,86,25,21,44.02903926,7.665063349,0.122405465,0.014305015,0.077619064,1,0.096030887,429.0695509,41.95375595,7.459829842,0.17151534,0.032854149,0.029803195,1.283544029,0.277255548,1,0.511858217,20,387.966422,0,1,4096,1,0.18,0.005,0.25,50,0.027051055,1
